text,emotion
I am very happy today,joy
This is the best day ever,joy
I feel amazing and excited,joy
I am smiling so much,joy
I got a surprise gift,surprise
Wow I did not expect that,surprise
That was shocking,surprise
I am completely surprised,surprise
I feel so sad and alone,sadness
I am crying right now,sadness
This hurts me deeply,sadness
I feel heartbroken,sadness
I am very angry at you,anger
This is so frustrating,anger
I hate this situation,anger
I am extremely annoyed,anger
I am scared of the dark,fear
This makes me nervous,fear
I feel terrified,fear
I am afraid of failing,fear
I love spending time with you,love
You mean everything to me,love
I care about you so much,love
I feel deeply connected,love
I am feeling great today,joy
Life is beautiful,joy
I am so cheerful,joy
I feel fantastic,joy
I am very upset,sadness
I feel depressed,sadness
I am not happy,sadness
Everything feels bad,sadness
I am furious,anger
This makes me so mad,anger
I am irritated,anger
I can't tolerate this,anger
I am frightened,fear
I feel unsafe,fear
This scares me,fear
I am worried,fear
I adore you,love
You are special to me,love
I like you a lot,love
I feel affection,love
That was unexpected,surprise
I am amazed,surprise
What a surprise,surprise
I didn’t see that coming,surprise
I am feeling great,joy
I am very happy today,joy
This made my day,joy
I feel terrible,sadness
I am very disappointed,sadness
I am really angry,anger
This makes me furious,anger
I am scared right now,fear
I feel nervous,fear
I love you so much,love
You are very important to me,love
That shocked me,surprise
I was not expecting that,surprise
